year,set_num,name,parent_theme_name,num_parts
1966,058-1,Small Wheels,Bionicle,26
1966,060-1,Assorted White Plates,Bionicle,15
1968,060-3,Jumbo Brick School Set,Legoland Parks,60
1966,061-1,Five Large Base Plates - Green,Bionicle,5
1966,062-1,Five Large Base Plates - White,Bionicle,5
1966,063-1,Five Large Base Plates - Blue,Bionicle,5
1978,063-2,Ducks,Batman,18
1969,065-1,Two Garage Door Kits,Bionicle,6
1968,066-1,Basic Building Set,Bionicle,407
1979,071-1,Block Box,Batman,24
1976,074-1,Pre-School Set,Batman,20
1975,075-1,Pre-School Set,Batman,17
2010,0756668530-1,Atlantis: Brickmaster,Super Heroes,157
2009,0756672805-1,Pirates: Brickmaster,Super Heroes,162
2009,0756672813-1,Castle: Brickmaster,Super Heroes,141
2011,0756682762-1,Ninjago Brickmaster,Super Heroes,154
2012,0756692571-1,Harry Potter Characters of the Magical World,Super Heroes,2
2012,0756698126-1,Ninjago: Character Encyclopedia,Super Heroes,5
1975,077-1,Pre-School Set,Batman,21
1970,078-1,Roadway Base Plate,Bionicle,0
1967,080-1,Basic Building Set with Train,Bionicle,712
1967,080-2,Ambassador Set,Bionicle,712
1976,080-3,Police Station,Batman,25
1978,086-1,Tub Boat,Mixels,3
1969,088-1,Super Set,Town,615
2001,10000-1,Guarded Inn,Mini,256
1985,1000-1,Mosaic Set,Duplo,190
2001,10001-1,Metroliner,Advent Sub-Set,785
2001,10002-1,Railroad Club Car,Advent Sub-Set,272
2001,10003-1,1 x 2 Sand Red Bricks,Harry Potter,100
2001,10004-1,2 x 2 Sand Red Bricks,Harry Potter,100
2001,10005-1,2 x 4 Sand Red Bricks,Harry Potter,50
2001,10006-1,1 x 6 Sand Red Bricks,Harry Potter,50
2001,10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,Harry Potter,25
2001,10008-1,2 x 4 Roof Tile Sand Red,Harry Potter,50
2001,10009-1,Assorted Blue Bricks,Harry Potter,62
1966,100-1,4.5V Motor with Wheels (Small Version),Train,16
2003,10010-1,Assorted Yellow Bricks,Harry Potter,63
2001,10011-1,Assorted Blue Plates,Harry Potter,42
2001,10012-1,Assorted Yellow Plates,Harry Potter,42
2001,10013-1,Open Freight Wagon,Advent Sub-Set,121
2001,10014-1,Caboose,Advent Sub-Set,170
2001,10015-1,Passenger Wagon,Advent Sub-Set,194
2001,10016-1,Tanker,Advent Sub-Set,128
2001,10017-1,Hopper Wagon,Advent Sub-Set,228
2001,10018-1,Darth Maul,Pirates I,1868
2001,10019-1,Rebel Blockade Runner - UCS,Star Wars,1747
1966,100-2,4.5V Motor with Wheels (Large Version),Train,27
2002,10020-1,"Santa Fe Super Chief, NOT the Limited Edition",Advent Sub-Set,427
2002,10020-2,"Santa Fe Super Chief, Limited Edition",Advent Sub-Set,433
2003,10021-1,U.S.S. Constellation,Exo-Force,973
2002,10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",Advent Sub-Set,410
2002,10023-1,Master Builder Set,Atlantis,112
2002,10024-1,Red Baron,Indiana Jones,669
2002,10025-1,Santa Fe Cars - Set I (mail or baggage car),Advent Sub-Set,325
2002,10026-1,Naboo Starfighter - UCS,Star Wars,187
2003,10027-1,Train Engine Shed,Advent Sub-Set,670
2003,10029-1,Lunar Lander,Vehicle,468
2002,10030-1,Imperial Star Destroyer - UCS,Star Wars,3115
2002,10036-1,Pizza To Go,City,150
2002,10037-1,Breezeway Cafe,City,194
2002,10039-1,Black Falcon's Fortress,Mini,431
2002,10040-1,Black Seas Barracuda,Space,916
2003,10041-1,"Main Street, Reissue",Classic Town,639
2003,10042-1,American Flag,Castle,35
2002,10043-1,2x2 Electrical Plate,Harry Potter,1
2002,10044-1,Windows and Doors,Harry Potter,44
2002,10045-1,Pillars and Beams,Harry Potter,13
2002,10046-1,Brown Tiles,Harry Potter,100
2002,10047-1,Light Gray Arches,Harry Potter,36
2002,10048-1,Small Wheels and Axles,Harry Potter,61
2002,10049-1,Large Wheels and Axles,Harry Potter,31
2002,10050-1,Gray Fences,Harry Potter,34
2002,10051-1,Transparent Bricks,Harry Potter,50
2003,10052-1,Intelligent Locomotive (Explore),Mixels,5
2003,10053-1,Black Slopes 33,Harry Potter,44
2003,10054-1,Black Slopes 33 3 x 2 and 3 x 4,Harry Potter,68
2003,10055-1,Black Slopes 33 3 x 1 and 3 x 3,Harry Potter,50
2002,10056-1,White Plates 2 x n,Harry Potter,56
2002,10057-1,Black Plates 2 x n,Harry Potter,56
2002,10058-1,Red Plates 2 x n,Harry Potter,56
2002,10059-1,Dark Green Plates 2 x n,Harry Potter,56
2002,10060-1,Light Gray Plates 2 x n,Harry Potter,56
2002,10061-1,Black Plates 1 x n,Harry Potter,84
2002,10062-1,Red Plates 1 x n,Harry Potter,84
2002,10063-1,Dark Green Plates 1 x n,Harry Potter,84
2002,10064-1,Light Gray Plates 1 x n,Harry Potter,84
2002,10065-1,White Plates 1 x n,Harry Potter,84
2002,10066-1,Castle Accessories,Harry Potter,41
2002,10067-1,Mini-Fig Headgear,Harry Potter,53
2002,10068-1,Santa Claus,Advent,39
2002,10069-1,Christmas Tree,Advent,33
2002,10070-1,Reindeer,Advent,26
2003,10071-1,Mr. Bunny,Advent,25
2003,10072-1,TECHNIC Beams,Harry Potter,56
2003,10073-1,Bushes,Harry Potter,130
2003,10074-1,Cross Axles,Harry Potter,68
2002,10075-1,Spider-Man Action Pack,Western,25
2002,10076-1,TECHNIC Gear Wheels,Harry Potter,38
2003,10077-1,TECHNIC Motor,Harry Potter,55
2003,10078-1,Train Connection Wire,Harry Potter,1
2003,10079-1,Snowman,Advent,42
2003,10080-1,Angel,Advent,33
2004,10081-1,Birthday Pack Heart,Super Heroes,70
2004,10082-1,Birthday Pack Daisy,Super Heroes,70
2004,10083-1,Birthday Pack Star,Super Heroes,70
2003,10090-1,Turkey,Advent Sub-Set,54
2019,100STORES-1,100 LEGO Stores North America,Freestyle,5
2006,10106-1,Snowflake,Advent,107
1969,101-1,4.5V Battery Case,Train,1
1976,1011-1,Number/Symbol Blocks,Duplo,100
2001,10111-1,Foliferous Tree,Harry Potter,10
2001,10112-1,Bush,Harry Potter,25
2001,10113-1,Cypress Trees,Harry Potter,5
2001,10114-1,2 x 2 Sand Red Roof Tiles,Harry Potter,100
2001,10115-1,Jumper Bricks,Harry Potter,80
2004,10116-1,Accessories Heart,Super Heroes,50
2004,10117-1,Accessories Daisy,Super Heroes,50
2004,10118-1,Accessories Star,Super Heroes,50
1971,101-2,Imagination Set 1,Bionicle,298
2003,10121-1,NBA Basketball Teams,Service Packs,16
2003,10123-1,Cloud City,Star Wars,707
2003,10124-1,Wright Flyer,Indiana Jones,663
2003,10127-1,NHL Action Set with Stickers,Service Packs,61
2003,10128-1,Train Level Crossing,Advent Sub-Set,326
2003,10129-1,Rebel Snowspeeder - UCS,Star Wars,1456
1966,101-3,4.5V Battery Case,Train,1
1985,1013-1,Numbers (6 Symbols),Duplo,0
2004,10131-1,TIE Fighter Collection,Star Wars,688
2004,10132-1,Motorized Hogwarts Express,Supplemental,712
2004,10133-1,Burlington Northern Santa Fe Locomotive,Advent Sub-Set,400
2004,10134-1,Y-wing Attack Starfighter - UCS,Star Wars,1489
2004,10135-1,Clikits Holiday Decoration Kit,Super Heroes,175
2005,10143-1,Death Star II,Star Wars,3460
2005,10144-1,Sandcrawler,Star Wars,1679
2004,10145-1,Assorted Light Gray Bricks,Harry Potter,124
2004,10146-1,Assorted Dark Gray Bricks,Harry Potter,62
2004,10147-1,Assorted Brown Bricks,Harry Potter,62
2004,10148-1,Assorted Light Gray Plates,Harry Potter,84
2004,10149-1,Assorted Dark Gray Plates,Harry Potter,42
2004,10150-1,Assorted Brown Plates,Harry Potter,42
2004,10151-1,Hot Rod,Cars,420
2004,10152-1,Maersk Sealand Container Ship 2004 Edition,Indiana Jones,988
2005,10152-2,Maersk Sealand Container Ship 2005 Edition,Indiana Jones,988
2006,10152-3,Maersk Line Container Ship 2006 Edition,Indiana Jones,988
2002,10153-1,Electric Train Motor 9V (My Own Train),Train,3
2010,10155-1,Maersk Line Container Ship 2010 Edition,Indiana Jones,990
2004,10156-1,LEGO Truck,Classic Town,105
2004,10157-1,High Speed Train Locomotive,Advent Sub-Set,142
2004,10158-1,High Speed Train Car,Advent Sub-Set,151
2004,10159-1,City Airport -City Logo Box,Town,913
2004,10159-2,City Airport -Full Size Image Box,City,913
2004,10160-1,Black Ridge Roof Tiles,Harry Potter,48
2004,10161-1,Black Roof Tiles,Harry Potter,76
2004,10162-1,Red Ridge Tiles,Harry Potter,48
2004,10163-1,Red Roof Tiles,Harry Potter,76
2004,10165-1,Elf Boy,Advent,27
2004,10166-1,Elf Girl,Advent,31
2004,10167-1,Brickmaster Kit (with Digital Designer CD),Town,182
2005,10168-1,Mrs. Bunny,Advent,64
2005,10169-1,Chicken & Chicks,Advent,60
2005,10170-1,TTX Intermodal Double-Stack Car,Advent Sub-Set,365
2006,10173-1,Holiday Train,Advent Sub-Set,969
2006,10174-1,Imperial AT-ST - UCS,Star Wars,1069
2006,10175-1,Vader's TIE Advanced - UCS,Star Wars,1211
2006,10176-1,Royal King's Castle,Castle,871
2006,10177-1,Boeing 787 Dreamliner,Indiana Jones,1196
2007,10178-1,Motorized Walking AT-AT,Star Wars,1137
2007,10179-1,Millennium Falcon - UCS,Star Wars,5195
2007,10181-1,Eiffel Tower 1:300 Scale,Indiana Jones,3428
2007,10182-1,Cafe Corner,Pirates,2058
2007,10183-1,Hobby Train,Vehicle,1080
2008,10184-1,Town Plan,Town Jr.,2017
2008,10185-1,Green Grocer,Pirates,2358
2008,10186-1,General Grievous,Star Wars,1084
2008,10187-1,Volkswagen Beetle (VW Beetle),Indiana Jones,1626
2008,10188-1,Death Star,Star Wars,3809
2008,10189-1,Taj Mahal,Indiana Jones,5922
2007,10190-1,Market Street,Pirates,1250
2008,10191-1,Star Justice,Vehicle,884
2008,10192-1,Space Skulls,Vehicle,956
2009,10193-1,Medieval Market Village,Ultimate Collector Series,1618
2009,10194-1,Emerald Night,Christmas,1089
2009,10195-1,Republic Dropship with AT-OT,Star Wars,1757
2009,10196-1,Grand Carousel,Indiana Jones,3260
2009,10197-1,Fire Brigade,Pirates,2236
2009,10198-1,Tantive IV,Star Wars,1408
2009,10199-1,Winter Toy Shop,Advent,815
1976,10-2,Universal Building Set,Town,129
2008,10200-1,Custom Car Garage,Vehicle,893
1985,1020-1,Basic Bricks,Duplo,86
2003,10201-1,Takutanuva,Bionicle,3
2004,10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),Bionicle,6
2004,10202-2,Ultimate Dume,Bionicle,3
2005,10203-1,Voporak,Bionicle,3
2006,10204-1,Vezon & Kardas,Bionicle,3
2002,10205-1,Locomotive,Advent Sub-Set,231
1968,102-1,4.5V Motor Set,Train,24
2010,10210-1,Imperial Flagship,Pirates,1656
1985,1021-1,Basic Vehicles,Duplo,93
2010,10211-1,Grand Emporium,Pirates,2186
2010,10212-1,Imperial Shuttle,Star Wars,2502
2010,10213-1,Shuttle Adventure,Indiana Jones,1203
2010,10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,Minitalia,29
2010,10214-1,Tower Bridge,Indiana Jones,4295
2010,10215-1,Obi-Wan's Jedi Starfighter,Star Wars,675
2010,10216-1,Winter Village Bakery,Advent,687
2011,10217-1,Diagon Alley,Train,2031
2011,10218-1,Pet Shop,Pirates,2034
2011,10219-1,Maersk Container Train,Christmas,1233
2011,10220-1,Volkswagen T1 Camper Van,Xtra,1333
1985,1022-1,Mini Basic Bricks,Duplo,30
2011,10221-1,Super Star Destroyer,Star Wars,3151
2011,10222-1,Winter Village Post Office,Advent,821
2012,10223-1,Kingdoms Joust,Castle,1574
2012,10224-1,Town Hall,Pirates,2771
2012,10225-1,R2-D2,Star Wars,2126
2012,10226-1,Sopwith Camel,Indiana Jones,878
2012,10227-1,B-wing Starfighter,Star Wars,1485
2012,10228-1,Haunted House,Educational and Dacta,2062
2012,10229-1,Winter Village Cottage,Advent,1490
1969,102-3,Super Value Set,Hero Factory,102
2012,10230-1,Mini Modulars,Pirates I,1358
1985,1023-1,Red Baseplate,Duplo,1
2011,10231-1,Shuttle Expedition,Indiana Jones,1230
2013,10232-1,Palace Cinema,Pirates,2194
2013,10233-1,Horizon Express,Christmas,1349
2013,10234-1,Sydney Opera House,Indiana Jones,2989
2013,10235-1,Winter Village Market,Advent,1261
2013,10236-1,Ewok Village,Star Wars,1995
2013,10237-1,The Tower of Orthanc,Educational and Dacta,2362
2013,10240-1,Red Five X-Wing Starfighter,Star Wars,1557
1985,1024-1,Animals,Duplo,32
2014,10241-1,Maersk Line Triple-E,Xtra,1518
2014,10242-1,Mini Cooper,Xtra,1074
2015,10242-2,Mini Cooper,Xtra,1076
2014,10243-1,Parisian Restaurant,Pirates,2470
2014,10244-1,Fairground Mixer,Xtra,1743
2014,10245-1,Santa’s Workshop,Advent,884
2001,1024601-1,Adventurers Value Pack (TRU Exclusive),Jack Stone,3
2015,10246-1,Detective’s Office,Pirates,2262
2015,10247-1,Ferris Wheel,Xtra,2463
2015,10248-1,Ferrari F40,Xtra,1158
2015,10249-1,Winter Toy Shop,Advent,897
2013,10250-1,Year Of The Snake,Castle,243
1985,1025-1,Figures and Furniture,Duplo,35
2016,10251-1,Brick Bank,Pirates,2384
2016,10252-1,Volkswagen Beetle,Xtra,1167
2016,10253-1,Big Ben,Xtra,4167
2016,10254-1,Winter Holiday Train,Advent,735
2017,10255-1,Assembly Square,Pirates,4002
2017,10256-1,Taj Mahal - 2017 Version,Xtra,5923
2017,10257-1,Carousel,Xtra,2668
2017,10258-1,London Bus,Xtra,1685
2017,10259-1,Winter Village Station,Advent,902
2018,10260-1,Downtown Diner,Pirates,2480
1985,1026-1,Playhouse Boxes,Duplo,2
2018,10261-1,Roller Coaster,Xtra,4124
2018,10262-1,James Bond Aston Martin DB5,Xtra,1299
2018,10263-1,Winter Village Fire Station,Advent,1166
2019,10264-1,Corner Garage,Pirates,2569
2019,10265-1,Ford Mustang,Xtra,1471
2019,10266-1,NASA Apollo 11 Lunar Lander,Xtra,1087
2018,10268-1,Vestas Wind Turbine,Xtra,834
1985,1027-1,Vehicles,Duplo,30
1985,1028-1,6 x 12 Base Bricks,Duplo,6
2011,10285-1,Compass Sensor for Mindstorms NXT,Harry Potter,1
2009,10287-1,Intelligent NXT Brick (Black),Harry Potter,1
1999,1029-1,Milk Delivery Truck - Tine,City,90
1970,102A-1,Front-End Loader,Island Xtreme Stunts,64
1970,102A-2,Front-End Loader,Island Xtreme Stunts,56
1977,10-3,Locomotive Wheels,Service Packs,8
1985,1030-1,TECHNIC I: Simple Machines Set,Technic,191
1969,103-1,4.5V Motor Set with Rubber Tracks,Sports,24
1983,1031-1,Building Cards - 1030,Duplo,20
1971,103-2,Imagination Set 3,Bionicle,568
1985,1032-1,TECHNIC II Set {4.5v},Friends,280
1985,1033-1,Building Cards - 1032,Duplo,20
1985,1034-1,Teachers Resource Set,Duplo,1534
1985,1038-1,ERBIE the Robo-Car,Technic,120
1986,1039-1,Manual Control Set 1,Technic,39
1991,1040-1,Farm (with Picture Book),Duplo,87
2018,10401-1,Rainbow Fun,Legends of Chima,85
1986,1040-2,Farm Set,Duplo,84
2018,10402-1,Fun Future,Legends of Chima,186
1976,1040-3,Universal Building Set,Super Heroes,126
2018,10403-1,World Fun,Legends of Chima,295
2018,10404-1,Ocean's Bottom,Legends of Chima,579
2018,10405-1,Mission to Mars,Legends of Chima,871
1970,104-1,Replacement 4.5V Motor,Train,1
1986,1041-1,Harbor,Duplo,73
1980,1041-2,Universal Building Set,Duplo,126
1986,1042-1,Community People,Duplo,2
1986,1043-1,Farm Animals (and Fences),Duplo,30
1986,1044-1,Community Vehicles,Duplo,30
1986,1045-1,Industrial Elements,Duplo,20
1976,1045-2,Educational LEGO Building Set,Books,683
1985,1046-1,Train Set,Duplo,61
1986,1047-1,Extra Track,Duplo,12
1986,1048-1,Bridge and Crossing Tracks,Duplo,15
1985,1049-1,Ships - 247 elements and 1 poster,Books,238
2013,10500-1,Horse Stable,Mixels,44
2013,10501-1,Zoo friends,Juniors,5
2013,10502-1,Zoo Bus,Juniors,19
2013,10503-1,Circus Show,Mixels,25
2013,10504-1,My First Circus,Mixels,62
2013,10505-1,Play House,Elves,83
2013,10506-1,Train Accessory Set,Mixels,24
2013,10507-1,My First Train Set,Mixels,52
2013,10508-1,Deluxe Train Set,Mixels,134
2013,10509-1,Dusty and Chug,The LEGO Movie,16
1984,105-1,Canada Post Truck,City,65
2013,10510-1,Ripslinger's Air Race,The LEGO Movie,40
2013,10511-1,Skipper's Flight School,The LEGO Movie,56
2013,10512-1,Jake's Treasure Hunt,Mixels,22
2013,10513-1,Never Land Hideout,Mixels,37
2013,10514-1,Jake's Pirate Ship Bucky,Mixels,56
2013,10515-1,Ariel's Undersea Castle,Fusion,39
2012,10516-1,Ariel's Magical Boat Ride,Fusion,30
2013,10517-1,My First Garden,Juniors,38
2013,10518-1,My First Construction Site,Juniors,45
2013,10519-1,Garbage Truck,Mixels,16
1973,105-2,Building Set,Town,150
2013,10520-1,Big Front Loader,Juniors,12
2014,10521-1,Baby Calf,Juniors,9
2014,10522-1,Farm Animals,Juniors,12
2014,10524-1,Farm Tractor,Juniors,29
2014,10525-1,Big Farm,Juniors,121
2014,10526-1,Peter Pan's Visit,Mixels,39
2014,10527-1,Ambulance,Juniors,14
2014,10528-1,School Bus,Mixels,26
2014,10529-1,Truck,Juniors,16
1984,1053-1,Community Buildings,Duplo,895
2012,10531-1,Mickey Mouse and Friends,Juniors,65
2014,10532-1,My First Police Set,Promotional,39
2014,10538-1,Fire and Rescue Team,The LEGO Movie,30
2014,10539-1,Beach Racing,Mixels,37
1999,1054-1,Stena Line Ferry,Sports,211
2014,10542-1,Sleeping Beauty's Fairy Tale,Collectible Minifigures,55
2014,10543-1,Superman Rescue,Speed Champions,19
2014,10544-1,The Joker Challenge,Speed Champions,40
2014,10545-1,Batcave Adventure,Speed Champions,59
2014,10546-1,My First Shop,Mixels,39
2013,10550-1,Circus Transport,Mixels,9
2013,10552-1,Creative Cars,Mixels,40
2013,10553-1,Toddler Build and Play Cubes,Batman,17
2013,10554-1,Toddler Build and Pull Along,Batman,15
2013,10555-1,Creative Bucket,Batman,65
2013,10556-1,Creative Chest,Batman,106
2013,10557-1,Giant Tower,Batman,200
2013,10558-1,Number Train,Super Heroes,31
2013,10559-1,A Fairy Tale,Batman,15
2013,10560-1,Peekaboo Jungle,Batman,13
1985,1056-1,Basic School Pack - 773 elements with teacher's manual,Duplo,785
2013,10561-1,Toddler Starter Building Set,Batman,37
2014,10565-1,Creative Suitcase,Super Heroes,135
2014,10566-1,Creative Picnic,Super Heroes,53
2014,10567-1,Toddler Build and Boat Fun,Super Heroes,18
2014,10568-1,Knight Tournament,Juniors,16
2014,10569-1,Treasure Attack,Juniors,46
2014,10570-1,All-in-One-Gift-Set,Super Heroes,30
2014,10571-1,All-in-One-Pink-Box-of-Fun,Super Heroes,65
2014,10572-1,All-in-One-Box-of-Fun,Super Heroes,65
2014,10573-1,Creative Animals,Super Heroes,25
2014,10574-1,Creative Ice Cream,Super Heroes,24
2014,10575-1,Duplo Creative Building Cube,Super Heroes,75
2014,10576-1,Zoo Care,Juniors,9
2014,10577-1,Big Royal Castle,Juniors,135
2014,10579-1,Clubhouse Café,Juniors,16
2014,10580-1,Deluxe Box of Fun,Super Heroes,95
2015,10581-1,Forest: Ducks,Super Heroes,13
2015,10582-1,Forest: Animals,Super Heroes,39
2015,10583-1,Forest: Fishing Trip,Super Heroes,30
2015,10584-1,Forest: Park,Super Heroes,105
2015,10585-1,Mom and Baby,Super Heroes,13
2015,10586-1,Ice Cream Truck,Super Heroes,11
2015,10587-1,Café,Mixels,51
2015,10589-1,Rally Car,Super Heroes,13
2015,10590-1,Airport,Mixels,29
2015,10591-1,Fire Boat,Juniors,19
2015,10592-1,Fire Truck,Juniors,26
2015,10593-1,Fire Station,Juniors,104
2015,10594-1,Sofia the First Royal Stable,Mixels,38
2015,10595-1,Sofia the First Royal Castle,Mixels,87
2015,10596-1,Disney Princess Collection,Fusion,63
2015,10597-1,Mickey & Minnie Birthday Parade,Juniors,24
2015,10599-1,Batman Adventure,Speed Champions,47
2015,10600-1,Classic Race,Friends,29
1981,1060-1,Road Plates and Signs,Duplo,30
2015,10601-1,Delivery Vehicle,Mixels,19
2015,10602-1,Camping,Mixels,38
2015,10603-1,My First Bus,Mixels,17
2015,10604-1,Treasure Island,Mixels,25
2015,10605-1,Rosie the Ambulance,Juniors,16
2015,10606-1,Backyard Clinic,Juniors,39
2015,10607-1,Spider-Man Web-Bike Workshop,Mixels,13
2015,10608-1,Spider-Man Spider Truck Adventure,Mixels,28
1985,106-1,UNICEF Van,City,59
2000,1061-1,Single Disk Pack,Model,1
2015,10615-1,My First Tractor,Juniors,12
2015,10616-1,My First Playhouse,Super Heroes,25
2015,10617-1,My First Farm,Juniors,26
2015,10618-1,Creative Building Box,Super Heroes,70
1980,1062-1,{Town Vehicles},Duplo,178
2015,10622-1,Large Creative Box,Super Heroes,193
2015,10623-1,Basic Bricks Large,Batman,0
1985,1063-1,Community Workers,Duplo,169
1981,1064-1,Dacta Buildings,Duplo,419
1985,1065-1,House Accessories - 182 elements,Duplo,196
2016,10654-1,XL Creative Brick Box,Legends of Chima,1599
2013,10655-1,Monster Trucks,Basic Model,197
2013,10656-1,My First LEGO Princess,Basic Model,88
2013,10657-1,My First LEGO Set,Basic Model,148
2013,10659-1,Blue Suitcase,Basic Model,152
2013,10660-1,Pink Suitcase,Basic Model,157
1982,1066-1,36 Little People + Accessories,Duplo,174
2013,10661-1,My First LEGO Fire Station,Basic Model,90
2013,10662-1,LEGO Creative Bucket,Basic Model,607
2013,10663-1,Creative Chest,Basic Model,607
2013,10664-1,Creative Tower,Creator,1599
2014,10665-1,Spider-Man: Spider-Car Pursuit,Collectible Minifigures,55
2014,10666-1,Digger,Collectible Minifigures,75
2014,10667-1,Construction,Collectible Minifigures,159
2014,10668-1,The Princess Play Castle,Collectible Minifigures,149
2014,10669-1,Turtle Lair,Collectible Minifigures,107
1988,1067-1,Community Vehicles,Friends,251
2014,10671-1,Fire Emergency,Collectible Minifigures,123
2014,10672-1,Batman: Defend the Batcave,Collectible Minifigures,150
2014,10673-1,Race Car Rally,Collectible Minifigures,349
2014,10674-1,Pony Farm,Collectible Minifigures,305
2014,10675-1,Police – The Big Escape,Collectible Minifigures,146
2014,10676-1,Knights’ Castle,Collectible Minifigures,480
2015,10677-1,Beach Excursion,Collectible Minifigures,74
2015,10679-1,Pirate Treasure Hunt,Collectible Minifigures,57
2015,10680-1,Garbage Truck,Collectible Minifigures,99
1999,1068-1,Air Patrol,Classic Town,20
2014,10681-1,Creative Building Cube,Basic Model,599
2014,10682-1,Creative Suitcase,Basic Model,1016
2015,10683-1,Road Work Truck,Collectible Minifigures,132
2015,10684-1,Supermarket Suitcase,Collectible Minifigures,134
2015,10685-1,Fire Suitcase,Collectible Minifigures,113
2015,10686-1,Family House,Collectible Minifigures,226
2015,10687-1,Spider-Man Hideout,Collectible Minifigures,137
1999,1069-1,Speedboat,City,22
2015,10692-1,Creative Bricks,Legends of Chima,221
2015,10693-1,Creative Supplement,Legends of Chima,303
2015,10693-1-s1,Rocket,Legends of Chima,12
2015,10694-1,Creative Supplement Bright,Legends of Chima,302
2015,10695-1,Creative Building Box,Legends of Chima,580
2015,10696-1,Medium Creative Brick Box,Legends of Chima,484
2015,10697-1,XXXL Box,Legends of Chima,1499
2015,10698-1,Large Creative Brick Box,Legends of Chima,790
2015,10699-1,Sand Baseplate,Legends of Chima,1
2015,10700-1,Green Baseplate,Legends of Chima,1
1999,1070-1,Stunt Flyer,Classic Town,20
2015,10701-1,Gray Baseplate,Legends of Chima,1
2016,10702-1,Creative Building Set,Legends of Chima,583
2017,10703-1,Creative Builder Box,Legends of Chima,503
2017,10704-1,Creative Box,Legends of Chima,899
2016,10705-1,Creative Building Basket,Legends of Chima,999
2017,10706-1,Blue Creative Box,Legends of Chima,78
2017,10707-1,Red Creative Box,Legends of Chima,55
2017,10708-1,Green Creative Box,Legends of Chima,66
2017,10709-1,Orange Creative Box,Legends of Chima,60
1976,107-1,4.5V Motor Set,Sports,31
1986,1071-1,Bricks 2 x 2 and 2 x 4,Duplo,56
2018,10712-1,Bricks and Gears,Legends of Chima,244
2018,10713-1,Creative Suitcase,Legends of Chima,213
2018,10714-1,Blue Baseplate,Legends of Chima,1
2018,10715-1,Bricks on a Roll,Legends of Chima,442
2018,10717-1,Bricks Bricks Bricks,Legends of Chima,1500
1985,107-2,Canada Post Mail Truck,City,138
2016,10720-1,Police Helicopter Chase,Collectible Minifigures,63
2016,10721-1,Iron Man vs. Loki,Collectible Minifigures,66
2016,10722-1,Snake Showdown,Collectible Minifigures,92
2016,10723-1,Ariel's Dolphin Carriage,Collectible Minifigures,70
2016,10724-1,Batman & Superman vs. Lex Luthor,Universal Building Set,164
2016,10725-1,Lost Temple,Collectible Minifigures,172
2016,10726-1,Stephanie's Horse Carriage,Super Heroes,58
2016,10727-1,Emma's Ice Cream Truck,Collectible Minifigures,136
2016,10728-1,Mia's Vet Clinic,Collectible Minifigures,182
2016,10729-1,Cinderella's Carriage,Collectible Minifigures,116
1971,107-3,4.5V Reversible Power Unit,Bionicle,24
